"Level,Topic,PassageID,PassageText,QuestionID,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption"
"1,Cryptozoology,P1,""In the deep forests, some people believe in the existence of Bigfoot. They say Bigfoot is a large, hairy creature that walks like a human. Many have tried to find it, but no one has proof."",Q1,""What creature do some people believe exists in the deep forests?"",""Unicorn"",""Bigfoot"",""Dragon"",""Mermaid"",""B"""
"1,Cryptozoology,P1,SAME,Q2,""How is Bigfoot described?"",""Small and scaly"",""Large and hairy"",""Tiny and winged"",""Bright and glowing"",""B"""
"1,Cryptozoology,P1,SAME,Q3,""Has anyone found proof of Bigfoot?"",""Yes, many have proof"",""Only one person has proof"",""No one has proof"",""Everyone has seen Bigfoot"",""C"""
"1,Cryptozoology,P1,SAME,Q4,""How does Bigfoot supposedly walk?"",""On all fours like a bear"",""Like a bird"",""Like a human"",""It doesn't walk"",""C"""
"1,Cryptozoology,P2,""Some fishermen talk about the Kraken, a giant squid in the ocean. They say it can sink ships with its big tentacles. But scientists have not seen such a creature."",Q1,""What is the name of the giant squid some fishermen talk about?"",""Nessie"",""Kraken"",""Leviathan"",""Megalodon"",""B"""
"1,Cryptozoology,P2,SAME,Q2,""What do people say the Kraken can do?"",""Fly in the sky"",""Sink ships"",""Walk on land"",""Talk to humans"",""B"""
"1,Cryptozoology,P2,SAME,Q3,""Have scientists seen the Kraken?"",""Yes"",""No"",""Only in dreams"",""Only in books"",""B"""
"1,Cryptozoology,P2,SAME,Q4,""Who talks about the Kraken?"",""Farmers"",""Astronauts"",""Fishermen"",""Teachers"",""C"""
"1,Cryptozoology,P3,""In the mountains, stories are told about the Yeti. The Yeti is said to be a snow creature with big feet. People search for footprints in the snow, hoping to find it."",Q1,""Where are stories about the Yeti told?"",""In the mountains"",""In the desert"",""On the beach"",""In the jungle"",""A"""
"1,Cryptozoology,P3,SAME,Q2,""What is the Yeti said to be?"",""A fire creature"",""A water spirit"",""A snow creature with big feet"",""A flying monster"",""C"""
"1,Cryptozoology,P3,SAME,Q3,""What do people search for to find the Yeti?"",""Sounds"",""Footprints in the snow"",""Shadows"",""Feathers"",""B"""
"1,Cryptozoology,P3,SAME,Q4,""Is the Yeti a real, proven creature?"",""Yes, everyone has seen it"",""No, it is a story"",""Only in zoos"",""It lives in cities"",""B"""
"1,Esoteric Philosophy,P1,""Some people study ideas that are hard to understand, like the meaning of life. They ask questions about why we are here. This is called philosophy."",Q1,""What do some people study that is hard to understand?"",""Simple math"",""The meaning of life"",""Cooking recipes"",""Animal sounds"",""B"""
"1,Esoteric Philosophy,P1,SAME,Q2,""What is asking about why we are here called?"",""Science"",""Philosophy"",""History"",""Art"",""B"""
"1,Esoteric Philosophy,P1,SAME,Q3,""Are these ideas easy to understand?"",""Yes, very easy"",""No, they are hard to understand"",""Only for children"",""They make no sense"",""B"""
"1,Esoteric Philosophy,P1,SAME,Q4,""What is the study of philosophy about?"",""Physical exercise"",""Deep questions about life"",""Building houses"",""Playing games"",""B"""
"1,Esoteric Philosophy,P2,""Meditation is a practice where people sit quietly and think deeply. It helps them feel calm and understand themselves better."",Q1,""What is meditation?"",""A type of dance"",""A practice of sitting quietly and thinking deeply"",""A cooking method"",""A sport"",""B"""
"1,Esoteric Philosophy,P2,SAME,Q2,""What does meditation help people feel?"",""Hungry"",""Excited"",""Calm"",""Angry"",""C"""
"1,Esoteric Philosophy,P2,SAME,Q3,""Does meditation help people understand themselves better?"",""Yes"",""No"",""Only sometimes"",""It makes them confused"",""A"""
"1,Esoteric Philosophy,P2,SAME,Q4,""Is meditation a physical exercise?"",""Yes, very intense"",""No, it's more about the mind"",""It's a team sport"",""It's a game"",""B"""
"1,Esoteric Philosophy,P3,""Yoga combines physical postures with breathing exercises. It aims to balance the mind and body."",Q1,""What does yoga combine?"",""Running and jumping"",""Physical postures and breathing exercises"",""Singing and dancing"",""Eating and sleeping"",""B"""
